date;dur_ttl;dur_outer;l_dur_ttl;l_dur_outer
2016-03-25;6471366.2629133165;5647523.316382687;1156235.6367109902;846202.8093337461
2016-03-26;9462501.569986772;8402961.05694747;1231488.0516525728;926180.5047993835
2016-03-27;7143551.597834805;6188974.901913295;1358954.5140266712;1033926.4881610754
2016-03-28;7097619.788169971;6318674.190044068;838206.5567971342;592484.5592975988
2016-03-29;6371248.948574198;5528862.291097028;1704790.1198864297;1346802.7780056295
2016-03-30;193434.0350627472;122983.27612875735;57495.064496997904;28320.57189941979
2016-03-31;260596.970319774;207402.33016017996;26490.598678603743;8492.834329610007
2016-04-01;7876758.694887264;6895312.927245916;1248750.070095505;937897.2091676455
2016-04-02;8880233.273505481;7779006.297349132;1250292.2227382045;904553.7497997389
2016-04-03;7366493.339061914;6423688.302516205;1380528.6054611262;1053720.1137543255
2016-04-04;8249675.10724116;7356296.547651207;1644992.0401573023;1292455.363273775
2016-04-05;8313583.802699363;7264024.885178786;1099554.6607972116;809368.4699536028
2016-04-06;295591.106891507;220515.05994796596;86327.50439643762;43153.57613564492
2016-04-07;971230.5879591163;753584.8577016713;8216.462612157198;5102.183341977289
2016-04-08;10807753.08871266;9389672.2204688;2074046.5862751312;1581939.7780895063
2016-04-09;10851105.78847064;9634081.737517597;1820905.0171374215;1443848.3502864926
2016-04-10;12194977.665424535;10865857.979535786;1865130.6679249122;1471269.953012722
2016-04-11;9301787.382842146;8260323.168277291;1404695.9252358235;1075451.8904681567
2016-04-12;7298633.147477441;6304956.645964649;1747146.9869614143;1300748.6715316935
2016-04-13;1238453.8223747204;1076375.4155634977;122112.76555057103;85184.98134615352
2016-04-14;902945.3680516707;765688.8043876006;37659.14154052317;20785.204648960836
2016-04-15;8264703.737259431;7139618.19338791;2214384.592533043;1658178.6587237138
2016-04-16;11888700.458766125;10528922.027350452;1775908.0507755487;1371452.350378039
2016-04-17;12420652.20355923;10960189.836980611;1290456.3622475434;981261.0144613837
2016-04-18;14264365.527153125;12693452.04758643;2349347.7101326087;1844901.760816567
2016-04-19;11204852.165937416;9959653.079985542;1600013.9238833904;1228201.0493278615
2016-04-20;358120.7871436506;269707.7724933169;138033.87951848758;87102.62966154263
2016-04-21;502162.6012326022;426882.89856910094;92915.03524778325;59481.64820670768
2016-04-22;16107477.189776896;14394368.583917234;2165512.884140025;1645645.5199718773
2016-04-23;14595548.061371477;13136195.728302456;2086245.8586693043;1627104.1371822269
2016-04-24;14378992.048740182;12874869.376899533;2273258.2092284183;1749175.7717132594
2016-04-25;11869787.823916689;10568458.58645544;2267276.7877580286;1750062.3331070547
2016-04-26;11528519.045113625;10149139.717817327;2815024.8050690615;2237911.9913580474
2016-04-27;970461.0064027923;800758.0928799028;538832.3767183417;422553.6968704468
2016-04-28;293690.82689287997;185561.1321926228;107060.91189385053;52680.310010912995
2016-04-29;14223420.058965016;12706353.685616361;2350922.9550362173;1826328.4001350065
2016-04-30;13370603.284597266;11907033.272979982;2585916.537046493;2060713.3462429757
2016-05-01;1906849.4477273307;1594181.8087102047;1058092.4530030035;832456.0580253729
2016-05-02;1062090.6982419726;831449.6862888931;636074.9502180857;484981.50467874773
2016-05-03;1819008.679389634;1523800.3554342529;547528.2979011628;422983.285427025
2016-05-04;1418182.0521354834;1210292.4747464976;193242.90108681773;121277.35853196467
2016-05-05;596823.2409957028;490207.3280807818;206335.4542255619;149304.41546437828
2016-05-06;13917309.077262254;12299331.179618819;2460024.4171621986;1862735.02087593
2016-05-07;15807502.18796695;13958622.259853145;3021143.726110433;2349577.264308874
2016-05-08;12376630.44309782;10848022.963284876;2201598.341226611;1627947.6320743214
2016-05-09;366474.73454472964;240008.91995427638;178380.76114651465;102405.5202007326
2016-05-10;1717366.4135929681;1431026.4363295634;369265.3405666424;228288.59686854732
2016-05-11;606661.2210273287;465328.94206045434;323498.29196932015;236885.88809967876
2016-05-12;1507135.5547916004;1320700.2992625316;233430.63759805818;167548.99072644897
2016-05-13;14334161.78488674;12900514.019728517;2461471.1420535976;1969274.51944351
2016-05-14;13855558.668376165;12529861.136913063;2129918.80130757;1739280.3733348814
2016-05-15;12752213.399172693;11480314.589739913;2189758.5506439283;1730038.008451869
2016-05-16;14472890.034198515;12989155.241726024;3490965.9655095628;2932900.5072107147
2016-05-17;13827849.761485554;12344825.870993935;1525719.8188305204;1158472.0869063407
2016-05-18;449511.21091847337;359894.505500835;56040.22121430561;40115.70715904503
2016-05-19;419705.41715619934;332480.73554040375;0.0;0.0
2016-05-20;17643637.738703065;16121112.165928464;2584630.751371278;2153378.0822751955
2016-05-21;18999942.31557968;17307250.825880308;2699097.7697373163;2298156.301736793
2016-05-22;14634862.653970316;13326793.327806106;1680838.3862972544;1390928.1435014135
2016-05-23;11565262.473583613;10504904.476882048;1933957.733154563;1557915.8539774637
2016-05-24;9717863.99245329;8858195.674895523;1250701.938867598;999570.2526568903
