;dur_ttl;dur_outer;l_dur_ttl;l_dur_outer
0.171.248.110;5842.752218245259;5519.77968216326;0.0;0.0
0.171.251.2;2553.2407760628603;2409.902334207987;0.0;0.0
0.171.28.138;86500.39529794783;51909.37018395277;0.0;0.0
0.171.30.243;1359.28106308406;1242.041587830542;0.0;0.0
0.171.30.78;21867.91157722958;20666.031837468006;0.0;0.0
0.171.31.150;15753.67522239747;14137.822628023034;0.0;0.0
0.171.31.179;15136.766195290413;14150.587320342269;0.0;0.0
0.171.31.91;51815.84501265724;40876.074790929684;0.0;0.0
0.171.35.181;6634.540081024729;6271.1226940130155;0.0;0.0
0.171.35.239;16682.79647827402;15582.270622247855;0.0;0.0
0.171.36.122;26778.646230704573;18917.675495156636;0.0;0.0
0.171.36.77;5758.7025165507175;5071.731805806094;0.0;0.0
0.171.37.129;13208.341836948961;12696.134567255585;0.0;0.0
0.171.37.208;1677.53314971649;1558.791160586914;0.0;0.0
0.171.37.73;73230.70764541687;52209.05685422286;0.0;0.0
0.171.38.18;4019.68908310137;3834.2595100359717;0.0;0.0
0.171.40.229;224.92599487299998;194.40412521360003;0.0;0.0
0.171.42.127;356.67014122027;335.741996765;0.0;0.0
0.171.43.10;34062.7770423746;32256.306171419452;0.0;0.0
0.171.43.193;29720.229864101253;27660.19105912064;0.0;0.0
0.171.44.171;2.02798843384;0.0;0.0;0.0
0.171.45.233;4886.32011413153;4571.378946304727;0.0;0.0
0.171.45.239;443017.6210409632;383349.28464925045;0.0;0.0
0.171.47.125;1327.7978897107198;1195.2588558238;0.0;0.0
0.171.47.186;0.720977783203;0.0;0.0;0.0
0.171.47.57;46462.19253540234;44104.69961167127;0.0;0.0
0.171.53.162;3563.30180169084;3298.655033109273;0.0;0.0
0.171.56.233;475.16608238199996;447.166919708;0.0;0.0
0.171.6.125;2203.6738395739403;2084.326505661104;0.0;0.0
0.171.61.0;60862.989187247;57964.385747931374;0.0;0.0
0.171.61.53;19768.05090903143;18538.316965099548;0.0;0.0
0.171.62.235;392.10104942319;372.132062912;0.0;0.0
0.171.62.99;4935.82677840974;4713.078975677969;0.0;0.0
0.171.64.114;161.65685653693998;1.327037811279;0.0;0.0
0.171.64.252;2745.25642395859;2490.602970123077;0.0;0.0
0.171.64.33;851.5353202815701;148.99325370757998;0.0;0.0
0.171.64.48;13.9319896698;1.435995101928;0.0;0.0
0.171.64.5;723.4778404230001;196.6102123261;0.0;0.0
0.171.65.37;31112.782716734633;30008.053064343905;0.0;0.0
0.171.66.159;135940.16122819946;117371.63567543968;135930.94110490844;117371.63567543968
0.171.66.227;34137.093067156966;30005.22899628366;34129.07218931883;30005.22899628366
0.171.66.6;1169.3840026894;1058.78210068;0.0;0.0
0.171.66.97;8574.74899290725;8141.25633239741;0.0;0.0
0.171.67.136;2383.1741809835003;2090.2569294;0.0;0.0
0.171.67.234;13254.385709760829;9750.962734222661;13250.959873197718;9750.962734222661
0.171.68.187;2129.5340061181896;1976.156234737648;0.0;0.0
0.171.7.53;2320.1832771293903;2194.2999362978785;0.0;0.0
0.171.71.219;2711.75479888481;2569.5159435307196;0.0;0.0
0.171.71.63;8533.54907035492;8289.338827136;0.0;0.0
0.171.74.46;4039.96181488508;3847.6562499941265;0.0;0.0
0.171.76.183;8658.384561535779;8071.3958740188755;0.0;0.0
0.171.8.106;17302.01196670118;16187.348842622992;0.0;0.0
0.171.83.33;2273.1800079330997;2138.420343397598;0.0;0.0
0.171.86.157;12160.78591346984;11393.605470656135;0.0;0.0
0.171.86.170;193717.50283241287;171729.52294349667;0.0;0.0
0.171.87.39;4519.62208747258;4209.240198131285;0.0;0.0
0.171.88.37;6.706953048709999;1.2731552123999998;0.0;0.0
0.171.89.117;61833.34922790796;59372.79248237525;0.0;0.0
0.171.89.188;16416.6550636306;15849.402666089898;0.0;0.0
0.171.91.113;4055.3271770477895;3060.728788376;0.0;0.0
0.171.91.124;1319.04315948247;1277.88591384837;0.0;0.0
0.171.93.123;24182.81674392275;23302.909135830887;24182.06596381716;23302.909135830887
0.171.93.32;1371.65713310255;1313.160181041182;0.0;0.0
0.171.93.34;65314.06021120579;59391.03031157548;0.0;0.0
0.171.93.66;19990.823030476695;12989.547252657003;0.0;0.0
0.175.189.19;253439.88919260618;227278.14126014145;46477.11348537015;43778.27644347628
0.175.72.23;23001.9817352217;21761.66439056669;0.0;0.0
0.177.144.90;9655.67922592457;9270.931243893821;0.0;0.0
0.177.177.119;1852.86593437538;1735.897064211504;0.0;0.0
0.18.82.121;6.44588470459;1.46770477295;0.0;0.0
0.180.208.12;292744.36759970675;280896.17347667844;0.0;0.0
0.180.221.143;17181.6573142938;16376.126766201314;0.0;0.0
0.180.254.7;175.81319808909998;155.9543609618;0.0;0.0
0.181.223.228;331.74085617024997;156.8651199339;0.0;0.0
0.181.234.32;11111.89413069914;10568.609476079762;0.0;0.0
0.181.243.137;0.7090568542479999;0.0;0.0;0.0
0.181.249.97;2754.9190521253;2633.075475689092;0.0;0.0
0.181.253.72;117.6779270172;99.1709232331;0.0;0.0
0.181.73.32;36390.683889391425;34315.62089918599;0.0;0.0
0.182.5.154;18341.485500327457;17008.726835245106;0.0;0.0
0.182.57.136;0.7979869842530001;0.0;0.0;0.0
0.182.60.121;22420.32909393685;21069.723129275353;0.0;0.0
0.185.112.20;7942.285537715641;7124.653816221584;0.0;0.0
0.185.115.30;7508.411169051679;6765.6371593502145;0.0;0.0
0.185.116.143;1324.07283783193;1205.9538364372709;0.0;0.0
0.185.116.87;1927.75201797909;1779.447317120231;0.0;0.0
0.185.117.217;2295.5060005238097;2090.451478956176;0.0;0.0
0.185.119.31;9832.638978965031;9202.59332656776;0.0;0.0
0.185.119.79;13179.551601417352;12076.048612590404;0.0;0.0
0.185.120.75;2195.40023803414;1977.453231812381;0.0;0.0
0.185.121.221;10587.085485463871;9535.617113111453;0.0;0.0
0.185.121.37;1333.46390724208;1213.652372360781;0.0;0.0
0.185.122.162;1321.32220268574;1203.7050724007809;0.0;0.0
0.185.124.43;3980.6172847833695;3586.5929126759092;0.0;0.0
0.185.125.147;2779.5560359933;2522.421121600512;0.0;0.0
0.185.125.168;1322.39603996648;1203.871965412148;0.0;0.0
0.185.125.201;15939.260959618103;14627.369165410028;0.0;0.0
0.185.127.173;1444.2892074539;1300.128221509925;0.0;0.0
0.185.127.246;16671.777725219035;14986.473798745552;0.0;0.0
0.185.127.74;10335.245370867779;9158.121347419372;0.0;0.0
0.185.229.106;59512.89010047384;49951.90429686699;0.0;0.0
0.185.230.59;1437.65568733638;31.110048294044002;0.0;0.0
0.186.19.68;8670.272111892382;8303.575754167063;0.0;0.0
0.186.19.70;1911.5283489180101;1777.569055559841;0.0;0.0
0.186.24.81;17190.255165114708;16454.34570313587;0.0;0.0
0.186.245.180;2185.24980544642;1926.699399945009;0.0;0.0
0.187.116.211;11878.602743148651;11322.622776017472;0.0;0.0
0.187.125.208;614.95876312241;478.075027465709;0.0;0.0
0.187.126.86;229.42614555400002;212.442874908;0.0;0.0
0.187.193.242;10.613918304439999;0.854015350341;0.0;0.0
0.187.193.3;12522.27210999001;11816.07842446372;0.0;0.0
0.187.205.122;10533.123016360501;9978.63459585983;0.0;0.0
0.187.205.142;15866.03617667857;15190.352678300529;0.0;0.0
0.187.205.66;1251.3899803191898;1193.336963650693;0.0;0.0
0.187.230.13;38976.82642937064;35496.8979358588;0.0;0.0
0.187.232.150;512196.8901162986;492561.22732102405;0.0;0.0
0.187.236.101;185766.9415473545;178253.55267526105;0.0;0.0
0.187.238.12;2906.39901160702;2749.146461487072;0.0;0.0
0.187.40.150;1420.15910148316;1319.6597099258202;0.0;0.0
0.187.43.142;6984.699010846561;5879.7383308298195;0.0;0.0
0.187.43.221;22017.074346528854;20727.508783319652;0.0;0.0
0.187.85.190;1353.7900447859402;1235.415935517432;0.0;0.0
0.187.89.206;34426.308631878324;32821.66647913568;0.0;0.0
0.187.89.30;77578.02987098596;67033.54406358428;0.0;0.0
0.187.89.90;24410.15315058003;22582.305669785277;0.0;0.0
0.188.169.18;25.03800392148;9.970188140870002;0.0;0.0
0.188.169.2;16191.967010488217;15385.989427579976;0.0;0.0
0.188.169.5;15575.080156323309;14794.305086131932;0.0;0.0
0.188.194.114;0.875949859619;0.0;0.0;0.0
0.189.10.45;15911.51952743928;15132.6508521938;0.0;0.0
0.189.142.36;17460.69335937552;16476.788043980752;0.0;0.0
0.189.30.130;1365.49305915354;1306.3201904297362;0.0;0.0
0.189.30.44;63068.33529471829;59605.5707931516;0.0;0.0
0.189.30.90;15648.415088645901;13905.928134916607;0.0;0.0
0.189.9.198;4027.24099158616;3852.957487100938;0.0;0.0
0.19.169.34;340.44122695895;323.23884964;0.0;0.0
0.19.172.62;45727.72836686723;43239.19630049994;0.0;0.0
0.19.4.227;10300.4808425821;9867.666244503485;0.0;0.0
0.190.185.18;52.009820938080004;40.78698158266;0.0;0.0
0.190.195.12;570349.0507610554;547090.9335618009;0.0;0.0
0.190.218.118;192113.34729196414;166773.5800743656;0.0;0.0
0.190.219.118;3652.006149290129;3478.8179397511512;0.0;0.0
0.190.240.150;34698.54116439899;28171.473979954608;0.0;0.0
0.190.241.110;754922.3356247369;657294.6376800176;0.0;0.0
0.190.244.214;31614.066362395955;30717.219352720702;0.0;0.0
0.190.247.236;517578.636646275;495689.0473363888;0.0;0.0
0.191.123.32;195981.99224475352;183549.48759083828;0.0;0.0
0.191.171.252;897906.6374301492;782764.8515700933;0.0;0.0
0.232.12.223;547384.3963145737;433036.27395627036;525840.1687144814;412862.25175854005
0.232.255.43;7982.069969187631;7556.9140911183595;0.0;0.0
0.232.26.193;1011808.9303970129;958671.322822579;1011572.3466872958;958528.2738208857
0.235.67.10;57.66367912294;1.261234283447;0.0;0.0
0.235.69.38;0.813961029053;0.0;0.0;0.0
0.235.72.130;134.82403755182997;103.96742820736;0.0;0.0
0.235.75.43;1275054.4493198514;1196158.9214801798;0.0;0.0
0.235.88.230;92325.87194441102;77887.04299926716;0.0;0.0
0.235.88.73;0.8161067962649999;0.0;0.0;0.0
0.235.89.133;3730.369806290589;3430.2923679348623;0.0;0.0
0.236.118.95;15210.514307026331;12839.284420024038;15204.59437370724;12839.284420024038
0.236.131.12;40285.104513202336;19186.4156723026;0.0;0.0
0.236.142.9;27.711868286099996;12.402057647699998;0.0;0.0
0.236.210.85;8159.780025481199;8079.706907268;0.0;0.0
0.236.217.176;5595.859050752941;5048.854827880221;0.0;0.0
0.236.3.16;1558989.7263029618;1408934.382914884;0.0;0.0
0.236.57.87;98482.75423050295;93907.72724151012;0.0;0.0
0.236.74.72;25426.35846134767;22525.342464456204;0.0;0.0
0.236.88.75;644.38724517962;341.12167358370993;644.38724517962;341.12167358370993
0.239.0.141;420.78208923385;402.86278724699997;0.0;0.0
0.239.103.1;332.54194259675;312.9529953;0.0;0.0
0.239.109.164;22944.4947242909;21792.64426230739;0.0;0.0
0.239.113.183;8214.30206298981;7518.700599661472;0.0;0.0
0.239.122.141;52425.87804791822;31709.6936702789;0.0;0.0
0.239.127.163;9992.609024045114;8975.049972535384;0.0;0.0
0.239.132.101;292.22416877779;275.038957596;0.0;0.0
0.239.169.144;251.76811218259004;130.50508499148995;0.0;0.0
0.239.190.143;53737.64467239077;51999.71985815658;0.0;0.0
0.239.193.3;364.96424675020796;316.9131278992;364.18628692659996;316.9131278992
0.239.196.176;8641.43300056795;8219.91777419666;0.0;0.0
0.239.209.35;25385.898828491718;24566.097974771423;0.0;0.0
0.239.210.128;31560.523748398693;30368.147850038367;0.0;0.0
0.239.22.2;183813.10868258128;163960.37077908995;0.0;0.0
0.239.237.116;2682.80982971136;2547.971963881607;0.0;0.0
0.239.244.53;19456.656694389825;18337.34846114059;0.0;0.0
0.239.32.185;1489.7837638874;1368.814468387676;0.0;0.0
0.239.63.77;25.9330272675;13.8564109802;0.0;0.0
0.239.69.164;5050.56476593065;4613.0993366212915;0.0;0.0
0.239.88.246;135225.90136527727;104715.87729456445;0.0;0.0
0.239.96.120;34746.54030800193;18207.772016524705;0.0;0.0
0.240.192.204;3522.5346088400593;3344.784498209426;0.0;0.0
0.240.198.165;223152.18830105677;196282.27615353608;0.0;0.0
0.240.200.170;26306.259870519134;25046.469926837646;0.0;0.0
0.240.203.86;44545.07684708293;42168.32327846519;0.0;0.0
0.240.204.140;17224.565029145986;15990.067720407425;0.0;0.0
0.240.215.202;7647.820711135859;7070.94311713788;0.0;0.0
0.240.217.158;30.33804893496;12.459754943850001;0.0;0.0
0.240.217.48;28024.660110450357;26480.764865868972;0.0;0.0
0.240.218.162;1936230.2169801123;1783244.0457336272;0.0;0.0
0.240.222.186;164032.3581695375;156423.24209207634;0.0;0.0
0.240.224.17;427155.96842753486;380908.836364171;0.0;0.0
0.240.233.126;59.448957443190004;23.00667762754;0.0;0.0
0.240.240.111;4833.428382874189;4391.795158381021;0.0;0.0
0.242.108.182;14839.084148378572;13770.372390749928;0.0;0.0
0.242.114.242;26218.969583515518;22696.171045308573;0.0;0.0
0.242.23.6;269108.4799769505;258980.0264833564;0.0;0.0
0.242.26.104;5894.026041042101;5598.791122424944;0.0;0.0
0.242.41.149;46134.949207330945;43961.36379234629;0.0;0.0
0.242.55.53;1245.0830936396999;1188.012838361255;0.0;0.0
0.242.61.170;51410.86721417596;49450.573444357695;0.0;0.0
0.242.7.35;172968.54090695432;141824.85508913978;0.0;0.0
0.246.1.53;66.03074073797;22.989511489859996;0.0;0.0
0.246.107.25;28271.814823134686;26894.403696071513;0.0;0.0
0.246.112.214;8134.161710738492;7710.968017583793;0.0;0.0
0.246.117.159;156667.86170004413;143946.98858259458;0.0;0.0
